x    y0   y1
0 1 -0.5
0.125 0.937662596244317 -0.495969879917956
0.25 0.876243931854007 -0.484408112219775
0.375 0.816876531526391 -0.464863722734338
0.5 0.760224209615794 -0.438503823297855
0.625 0.707440519148459 -0.405031909724247
0.75 0.65910316766928 -0.365437565813371
0.875 0.616183588253544 -0.320001092759457
1 0.579269606427848 -0.269591005286028
1.125 0.548698354557297 -0.215073211006713
1.25 0.525618433082012 -0.156996366297563
1.375 0.509636786395286 -0.0965949907325119
1.5 0.501233162862831 -0.0346573262710207
1.625 0.501025723387023 0.0278401407729756
1.75 0.508413652199901 0.0898793495241117
1.875 0.523300672287326 0.150571437710529
2 0.545864955730707 0.208862835370092
2.125 0.575606673839747 0.263817620831705
2.25 0.611739579411855 0.314797557627908
2.375 0.654070436837793 0.360789683599902
2.5 0.701886790648419 0.401018174668535
2.625 0.754101388545645 0.435388754100817
2.75 0.810510330418014 0.462321657138703
2.875 0.869585725836461 0.482774741376199
3 0.930930499949973 0.49482442942839
3.125 0.993240811356779 0.49987495342928
3.25 1.05565914748125 0.49655345888345
3.375 1.11722479337191 0.485718688651849
3.5 1.17705422668208 0.467586167330725
3.625 1.23386022722385 0.441465318635275
3.75 1.28720894113011 0.408876911315081
3.875 1.33626786183051 0.370106484441978
4 1.37951292233292 0.324936628125385
4.125 1.41708050439735 0.274966515483914
4.25 1.44843136962751 0.220865677282879
4.375 1.47250118504974 0.163151628919205
4.5 1.48887870331351 0.10280328372919
4.625 1.4978980442905 0.0409370691690242
4.75 1.49942036938003 -0.021578193456386
4.875 1.49287659430327 -0.0837755474725081
5 1.47824302053918 -0.144578384058543
5.125 1.45640834260985 -0.203166408207839
5.25 1.42768577848999 -0.258713527316203
5.375 1.39219628991344 -0.310214345382427
5.5 1.3501299205213 -0.356499916831399
5.625 1.30283789639707 -0.397405777184505
5.75 1.2509934159899 -0.432379660679208
5.875 1.19505557332721 -0.460345050708497
6 1.13596877956765 -0.480835773472207
6.125 1.07488132034452 -0.494204615693887
6.25 1.01260826393192 -0.499943343587612
6.375 0.950112391842936 -0.49744588186441
