N pseudo_result pseudo_error_estimate pseudo_error_actual
50 3.44 0.196285506342165 0.298407346410207
550 3.17090909090909 0.0691371745922086 0.0293164373192978
1050 3.18857142857143 0.0496396343103033 0.0469787749816355
1550 3.11225806451613 0.0422197171329504 0.029334589073664
2050 3.0809756097561 0.0371647074331472 0.0606170438336955
2550 3.13725490196078 0.0325796236570313 0.00433775162900885
3050 3.15540983606557 0.0295597650267005 0.0138171824757807
3550 3.15154929577465 0.0274448703198521 0.00995664218485492
4050 3.1437037037037 0.0257813303976003 0.00211105011391055
4550 3.16923076923077 0.024055336426911 0.027638115640976
5050 3.15881188118812 0.02293838075555 0.0172192275983258
5550 3.14378378378378 0.0220227509551195 0.00219113019399053
6050 3.17421487603306 0.0208148843156723 0.0326222224432646
6550 3.13770992366412 0.0203241522535097 0.00388272992567096
7050 3.14099290780142 0.0195630828487142 0.00059974578837485
7550 3.1687417218543 0.0186783253911272 0.0271490682645115
8050 3.14782608695652 0.0182545672804515 0.00623343336672866
8550 3.15602339181287 0.017650306617556 0.0144307382230724
9050 3.16154696132597 0.0171145269838887 0.0199543077361737
9550 3.14890052356021 0.0167520494548739 0.0073078699704161
10050 3.10766169154229 0.0166111081250846 0.0339309620475046
10550 3.17838862559242 0.0157329618880263 0.0367959720026239
11050 3.12253393665158 0.0157466294923046 0.0190587169382095
11550 3.1217316017316 0.0154070827971529 0.0198610518581912
12050 3.16116182572614 0.0148343640931396 0.019569172136348
12550 3.13657370517928 0.0146898892314772 0.00501894841051032
13050 3.1423754789272 0.014370516499264 0.000782825337410031
13550 3.15512915129151 0.0140260081136499 0.0135364977017196
14050 3.12455516014235 0.0139530878782397 0.0170374934474444
14550 3.13539518900344 0.0136497114624989 0.00619746458635673
15050 3.15348837209302 0.0133181478251084 0.0118957185032302
15550 3.11897106109325 0.0132933843866965 0.0226215924965456
16050 3.14591900311526 0.0129385550968308 0.00432634952547151
16550 3.14102719033233 0.0127681082850827 0.00056546325746698
17050 3.16129032258065 0.0124702691278908 0.0196976689908519
17550 3.13823361823362 0.0124136314888932 0.00335903535617499
18050 3.13595567867036 0.0122522081137181 0.00563697491943316
18550 3.14134770889488 0.0120585396195988 0.000244944694914206
19050 3.15191601049869 0.0118456599243078 0.0103233569088945
19550 3.12531969309463 0.0118249283443721 0.0162729604951641
20050 3.13835411471322 0.0116133681452274 0.00323853887657632
20550 3.14666666666667 0.0114308575321355 0.00507401307687338
21050 3.11923990498812 0.0114242356773442 0.0223527486016697
21550 3.1415313225058 0.0111868879158035 6.1331083992755E-05
22050 3.14666666666667 0.0110352055783621 0.00507401307687338
22550 3.1510421286031 0.0108917308656478 0.00944947501331095
23050 3.12954446854664 0.0108712227211252 0.0120481850431555
23550 3.13783439490446 0.0107180283261674 0.00375825868533441
24050 3.14012474012474 0.0105957971838238 0.00146791346505282
24550 3.15160896130346 0.0104361052739528 0.010016307713669
25050 3.13836327345309 0.0103898635110654 0.00322938013669916
25550 3.14363992172211 0.0102647683297168 0.00204726813232048
26050 3.15915547024952 0.0100980958197979 0.0175628166597273
26550 3.13491525423729 0.0101067137830012 0.00667739935250511
27050 3.15800369685767 0.00991465883515524 0.0164110432678779
27550 3.14439201451906 0.00988200240754672 0.00279936092926336
28050 3.14324420677362 0.0097983095120206 0.00165155318382526
28550 3.15068301225919 0.00968131174135037 0.00909035866940133
29050 3.12247848537005 0.00971193004473624 0.0191141682197413
29550 3.13732656514382 0.00957027314456217 0.0042660884459691
30050 3.15314475873544 0.00942658323011978 0.0115521051456478
30550 3.14121112929624 0.00939693364753195 0.000381524293557423
31050 3.13945249597423 0.00932789353106212 0.00214015761555819
31550 3.14903328050713 0.00921605867866122 0.00744062691733838
32050 3.14308892355694 0.00916710478139394 0.00149626996714902
32550 3.13400921658986 0.00913127186422289 0.00758343699993125
33050 3.14614220877458 0.00901563281281974 0.00454955518479094
33550 3.13061102831595 0.00900690032320784 0.0109816252738466
34050 3.14161527165932 0.00889936322610104 2.26180695315215E-05
34550 3.1457018813314 0.00881940893286748 0.0041092277416106
35050 3.14373751783167 0.00876360078533935 0.00214486424187577
35550 3.12720112517581 0.00876224098297164 0.0143915284139844
36050 3.14918169209431 0.00862113880856787 0.00758903850452031
36550 3.16060191518468 0.00851971752559884 0.0190092615948854
37050 3.14450742240216 0.00852099536117179 0.0029147688123663
37550 3.14151797603196 0.00847481851597538 7.4677557835745E-05
38050 3.15469119579501 0.00837160622959714 0.0130985422052134
38550 3.16565499351492 0.00827737126904721 0.0240623399251225
39050 3.15339308578745 0.00826836123003917 0.011800432197659
39550 3.14366624525917 0.00825023850470064 0.00207359166937238
40050 3.13398252184769 0.00823209461658321 0.00761013174210268
40550 3.13982737361282 0.00816112942542075 0.0017652799769694
41050 3.13481120584653 0.00812839046034863 0.00678144774326439
41550 3.14512635379061 0.0080442303678283 0.00353370020082044
42050 3.14587395957194 0.00799371463667713 0.00428130598214516
42550 3.13363102232667 0.00798777077217291 0.00796163126311855
43050 3.13932636469222 0.00792229309404769 0.00226628889757485
43550 3.12477611940299 0.00792455626463034 0.0168165341868081
44050 3.12535754824064 0.00787756824577991 0.0162351053491574
44550 3.14702581369248 0.00776236826000194 0.00543316010268713
45050 3.13784683684795 0.00774926809171501 0.00374581674184649
45550 3.15249176728869 0.0076586946154389 0.0108991136989007
46050 3.14475570032573 0.0076422938648878 0.00316304673593981
46550 3.15626208378088 0.00756363337352079 0.0146694301910877
47050 3.13657810839532 0.00758681977469189 0.0050145451944692
47550 3.14002103049422 0.0075358966401482 0.00157162309557668
48050 3.1525494276795 0.00745661027338216 0.0109567740897072
48550 3.13927909371782 0.00746021807250573 0.00231355987197635
49050 3.13166156982671 0.00744581800318416 0.00993108376308571
49550 3.13840565085772 0.00738727268082422 0.00318700273207373
