N quasi_result quasi_error_estimate quasi_error_actual
50 6.32 0.16 0.0368146928204141
550 6.29818181818182 0.0290909090909093 0.0149965110022316
1050 6.28952380952381 0.00761904761904741 0.00633850234422262
1550 6.28387096774194 0.0154838709677421 0.000685660562349533
2050 6.28292682926829 0.00780487804878049 0.000258477911293298
2550 6.28235294117647 0.0031372549019606 0.000832366003114871
3050 6.28983606557377 0.00524590163934402 0.0066507583941835
3550 6.27830985915493 0.00901408450704189 0.00487544802465667
4050 6.28246913580247 0.00592592592592656 0.000716171377117547
4550 6.28131868131868 0.00527472527472561 0.00186662586090502
5050 6.2819801980198 0.00158415841584159 0.001205109159784
5550 6.28396396396396 0.00144144144144143 0.000778656784377496
6050 6.28099173553719 0.00793388429752095 0.00219357164239575
6550 6.28519083969466 0.00977099236641177 0.00200553251507074
7050 6.28085106382979 0 0.00233424334979926
7550 6.28450331125828 0.00423841059602648 0.00131800407869243
8050 6.28472049689441 0.00397515527950354 0.00153518971482391
8550 6.28538011695906 0.00467836257309973 0.00219480977947839
9050 6.28331491712707 0.001767955801105 0.000129609947485676
9550 6.28272251308901 0.0067015706806286 0.000462794090580587
10050 6.28258706467662 0.000796019900497491 0.000598242502968915
10550 6.28322274881517 0.00151658767772567 3.74416355795049E-05
11050 6.28235294117647 0.00217194570135781 0.000832366003115759
11550 6.28190476190476 0.00484848484848488 0.00128054527482391
12050 6.28248962655602 0.00663900414937757 0.000695680623569395
12550 6.28175298804781 0.00191235059760952 0.00143231913177821
13050 6.28352490421456 0 0.000339597034972883
13550 6.28191881918819 0.00118081180811824 0.00126648799139417
14050 6.28156583629893 0.00113879003558726 0.0016194708806534
14550 6.28343642611684 0.0021993127147768 0.000251118937251604
15050 6.28279069767442 0.00265780730897003 0.00039460950516812
15550 6.28398713826367 0.000514469453375632 0.000801831084078941
16050 6.28311526479751 0.00049844236760066 7.00423820783058E-05
16550 6.28543806646526 0.00290030211480374 0.00225275928567115
17050 6.28480938416422 0.00234604105571901 0.00162407698463696
17550 6.2839886039886 0.000455840455840573 0.000803296809017695
18050 6.28387811634349 0.00265927977839286 0.000692809163904684
18550 6.28528301886792 0.0017250673854452 0.0020977116883385
19050 6.28451443569554 0.0025196850393705 0.00132912851595179
19550 6.28337595907928 0.00081841432225005 0.000190651899697691
20050 6.28468827930175 0.000798004987530909 0.00150297212215911
20550 6.28418491484185 0.0011678832116786 0.000999607662262925
21050 6.28522565320665 0.00152019002375336 0.00204034602706393
21550 6.28361948955916 0.00111368909512777 0.000434182379578374
22050 6.28371882086168 0.00108843537414938 0.000533513682091424
22550 6.28328159645233 0.000709534368070308 9.62892727418563E-05
23050 6.28303687635575 0 0.000148430823838197
23550 6.2828025477707 0.00203821656050973 0.000382759408886102
24050 6.28224532224532 0.00199584199584191 0.000939984934264615
24550 6.28252545824847 0.00358452138492815 0.000659848931113594
25050 6.28327345309381 0.00159680638722559 8.81459142263452E-05
25550 6.28289628180039 0.000626223091976463 0.000289025379194285
26050 6.28314779270633 0.00092130518234157 3.7514473252287E-05
26550 6.28323917137477 0.000301318267420747 5.38641951788321E-05
27050 6.28214417744917 0.000295748613678093 0.00104112973041737
27550 6.2821052631579 0.00232304900181557 0.00108004402169115
28050 6.2817825311943 0.00199643493761137 0.00140277598528993
28550 6.28287215411559 0.000560420315236065 0.000313153063999039
29050 6.28309810671256 0.000826161790016933 8.72004670213755E-05
29550 6.28209813874788 0.0024365482233506 0.00108716843170154
30050 6.28299500831947 0.00133111480865189 0.000190298860118787
30550 6.28281505728314 0.000261865793780736 0.000370249896443298
31050 6.28328502415459 0.00103059581320419 9.97169750025506E-05
31550 6.28310618066561 0.00101426307448538 7.91265139756803E-05
32050 6.28230889235569 0.00074882995319836 0.000876414823892446
32550 6.28350230414746 0.00196620583717344 0.00031699696787868
33050 6.28320726172466 0.00217851739788166 2.1954545073477E-05
33550 6.28351713859911 0.00214605067064078 0.000331831419519979
34050 6.28346549192364 0.00140969162995574 0.000280184744055667
34550 6.28364688856729 0.00301013024601993 0.000461581387707355
35050 6.28382310984308 0.00228245363766 0.000637802663495002
35550 6.28376933895921 0.00157524613220783 0.00058403177962596
36050 6.2828294036061 0.000443828016643444 0.000355903573483474
36550 6.28322845417237 0.00153214774281807 4.31469927804073E-05
37050 6.28242914979757 0.00237516869095789 0.000756157382015843
37550 6.2819707057257 0.00127829560585813 0.00121460145388674
38050 6.28257555847569 0.000210249671485307 0.000609748703896074
38550 6.28306095979248 0.00186770428015492 0.00012434738710887
39050 6.28322663252241 0.00122919334186911 4.13253428206417E-05
39550 6.28298356510746 0.00101137800252804 0.000201742072126976
40050 6.28274656679151 0.000799001248439346 0.000438740388075232
40550 6.28320591861899 0 2.06114394023516E-05
41050 6.28248477466504 0.0003897685749088 0.000700532514543717
41550 6.28332129963899 0.000385078219013124 0.000135992459402878
42050 6.28252080856124 0.00095124851367423 0.000664498618349718
42550 6.28296122209166 0.000564042303172307 0.000224085087928927
43050 6.28329849012776 0.00111498257839759 0.000113182948172863
43550 6.28390355912744 0 0.000718251947853688
44050 6.283314415437 0.000544835414301836 0.000129108257416632
44550 6.28345679012346 0 0.00027148294387036
45050 6.28395116537181 0.000177580466148797 0.000765858192222524
45550 6.28364434687157 0.000526893523600691 0.000459039691983243
46050 6.28351791530945 0.000521172638436873 0.00033260812985958
46550 6.28356605800215 0.000515574650912676 0.000380750822561282
47050 6.28463336875664 0.000170031880977639 0.00144806157705624
47550 6.28399579390116 0.00016824395373316 0.000810486721571024
48050 6.28437044745057 0.000499479708636841 0.00118514027098637
48550 6.28490216271885 0.000164778578784386 0.00171685553926082
49050 6.28517838939857 0.00032619775739029 0.00199308221898686
49550 6.28480322906155 0.00145307769929381 0.00161792188196763
